R E   tau stati

0 14 -1 1322044636,4750
0 15 -1 1322044636,5050
0 16 -1 1322044636,5400
0 17 -1 1322044636,5760
1 18 13 0 1 1 1 1 1 1 1 1 1 1 1 1 1322044636,6360
0 6 -1 1322044636,6710
0 7 -1 1322044636,6910
0 8 -1 1322044636,7510
0 9 -1 1322044636,7800
0 10 -1 1322044636,8380
0 11 -1 1322044636,8800
0 12 -1 1322044636,9100
0 13 -1 1322044636,9650
0 14 -1 1322044636,9950
0 15 -1 1322044637,0300
0 16 -1 1322044637,0610
0 17 -1 1322044637,1040
0 18 -1 1322044637,1560
1 19 16 2 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 1322044637,1910
0 4 -1 1322044637,2200
0 5 -1 1322044637,2500
0 6 -1 1322044637,3110
0 7 -1 1322044637,3500
0 8 -1 1322044637,3800
0 9 -1 1322044637,4160
0 10 -1 1322044637,4700
0 11 -1 1322044637,5000
0 12 -1 1322044637,5360
0 13 -1 1322044637,5760
0 14 -1 1322044637,6300
0 15 -1 1322044637,6910
0 16 -1 1322044637,7060
0 17 -1 1322044637,7450
0 18 -1 1322044637,7810
1 19 14 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1322044637,8210
0 6 -1 1322044637,8750
0 7 -1 1322044637,9100
0 8 -1 1322044637,9410
0 9 -1 1322044638,0010
0 10 -1 1322044638,0310
0 11 -1 1322044638,0700
0 12 -1 1322044638,1000
0 13 -1 1322044638,1600
0 14 -1 1322044638,1900
0 15 -1 1322044638,2630
0 16 -1 1322044638,2980
0 17 -1 1322044638,3140
0 18 -1 1322044638,3490
0 19 -1 1322044638,3800
0 20 -1 1322044638,4400
1 21 18 2 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 1322044638,4710
0 4 -1 1322044638,5010
0 5 -1 1322044638,5400
0 6 -1 1322044638,5950
0 7 -1 1322044638,6310
0 8 -1 1322044638,6600
0 9 -1 1322044638,7160
0 10 -1 1322044638,7510
0 11 -1 1322044638,7900
0 12 -1 1322044638,8200
0 13 -1 1322044638,8500
0 14 -1 1322044638,9100
0 15 -1 1322044638,9410
0 16 -1 1322044638,9760
1 17 13 0 1 1 1 1 1 1 1 1 1 1 1 1 1322044639,0160
0 5 -1 1322044639,0700
0 6 -1 1322044639,1050
0 7 -1 1322044639,1350
0 8 -1 1322044639,1950
0 9 -1 1322044639,2260
0 10 -1 1322044639,2600
0 11 -1 1322044639,2950
0 12 -1 1322044639,3550
0 13 -1 1322044639,3850
0 14 -1 1322044639,4200
0 15 -1 1322044639,4510
0 16 -1 1322044639,5150
0 17 -1 1322044639,5510
0 18 -1 1322044639,5810
0 19 -1 1322044639,6400
1 20 17 2 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 1322044639,6720
0 4 -1 1322044639,7060
0 5 -1 1322044639,7400
0 6 -1 1322044639,7750
0 7 -1 1322044639,8300
0 8 -1 1322044639,8660
0 9 -1 1322044639,9010
0 10 -1 1322044639,9560
0 11 -1 1322044639,9900
0 12 -1 1322044640,0260
0 13 -1 1322044640,0600
0 14 -1 1322044640,1160
0 15 -1 1322044640,1510
0 16 -1 1322044640,1840
0 17 -1 1322044640,2140
1 18 13 0 1 1 1 1 1 1 1 1 1 1 1 1 1322044640,2750
0 6 -1 1322044640,3040
0 7 -1 1322044640,3390
0 8 -1 1322044640,3940
0 9 -1 1322044640,4300
0 10 -1 1322044640,4640
0 11 -1 1322044640,4990
0 12 -1 1322044640,5290
0 13 -1 1322044640,5890
0 14 -1 1322044640,6240
0 15 -1 1322044640,6550
0 16 -1 1322044640,7140
0 17 -1 1322044640,7490
0 18 -1 1322044640,7740
0 19 -1 1322044640,8140
0 20 -1 1322044640,8690
1 21 17 2 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 1322044640,9050
0 5 -1 1322044640,9390
0 6 -1 1322044640,9990
0 7 -1 1322044641,0290
0 8 -1 1322044641,0640
0 9 -1 1322044641,0940
0 10 -1 1322044641,1550
0 11 -1 1322044641,1890
0 12 -1 1322044641,2240
0 13 -1 1322044641,2540
0 14 -1 1322044641,3150
0 15 -1 1322044641,3440
0 16 -1 1322044641,3800
0 17 -1 1322044641,4140
0 18 -1 1322044641,4740
1 19 14 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1322044641,5050
0 6 -1 1322044641,5390
0 7 -1 1322044641,5940
0 8 -1 1322044641,6300
0 9 -1 1322044641,6640
0 10 -1 1322044641,7240
0 11 -1 1322044641,7540
0 12 -1 1322044641,7890
0 13 -1 1322044641,8190
0 14 -1 1322044641,8550
0 15 -1 1322044641,8890
0 16 -1 1322044641,9490
0 17 -1 1322044641,9790
0 18 -1 1322044642,0140
0 19 -1 1322044642,0890
0 20 -1 1322044642,1200
1 21 18 2 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 1322044642,1550
0 4 -1 1322044642,1890
0 5 -1 1322044642,2190
0 6 -1 1322044642,2540
